middleschool,variable.x,est,se,pct,pctse
Clarke,wic1,112.4071404,42.1460536,0.008269503,0.003102795
Coile,wic1,231.225105,55.17353954,0.042581223,0.010153541
Hilsman,wic1,181.7582579,76.57388707,0.014646707,0.006165533
BHL,wic10,0,0,0,0
Clarke,wic10,0,0,0,0
Coile,wic10,3.4482758,3.4482758,6.35E-04,6.35E-04
Hilsman,wic10,0,0,0,0
BHL,snap0,6661.368701,178.0900118,0.902294304,0.017834834
Clarke,snap0,12689.2419,265.5023526,0.93351472,0.00981998
Coile,snap0,4742.288475,122.6715514,0.873315387,0.01481298
Hilsman,snap0,11502.46623,236.2932012,0.926908395,0.012023565
BHL,snap1,721.331901,132.2177236,0.097705696,0.017834834
Clarke,snap1,903.7327294,133.1943484,0.06648528,0.00981998
Coile,snap1,687.924416,80.4756249,0.126684613,0.01481298
Hilsman,snap1,907.0299943,149.6966551,0.073091605,0.012023565
BHL,sec80,7141.238912,152.2876859,0.967293582,0.011133809
Clarke,sec80,13422.61743,238.1825227,0.987467262,0.002869259
Coile,sec80,5294.863263,105.7314889,0.975074711,0.007175877
Hilsman,sec80,12280.82804,200.5694986,0.989631474,0.003867005
BHL,sec81,241.46169,82.28246469,0.032706418,0.011133809
Clarke,sec81,170.357196,38.89849192,0.012532738,0.002869259
Coile,sec81,135.349628,38.95470266,0.024925289,0.007175877
Hilsman,sec81,128.6681787,47.97693849,0.010368526,0.003867005
BHL,nowelfareben0,1373.758483,177.9239328,0.186078043,0.023890099
Clarke,nowelfareben0,1556.100415,198.9365211,0.114478284,0.014642057
Coile,nowelfareben0,1303.780078,117.876668,0.240097415,0.021539752
Hilsman,nowelfareben0,2063.373907,236.0733029,0.166273785,0.018838688
BHL,nowelfareben1,6008.942119,207.0782753,0.813921957,0.023890099
Clarke,nowelfareben1,12036.87421,298.0588874,0.885521716,0.014642057
Coile,nowelfareben1,4126.432813,143.1935685,0.759902585,0.021539752
Hilsman,nowelfareben1,10346.12231,284.8067027,0.833726215,0.018838688
BHL,checking0,193.904858,70.9459346,0.027075153,0.009878961
Clarke,checking0,239.5143384,53.75785045,0.017303907,0.003876772
Coile,checking0,200.6937758,44.41379693,0.039246825,0.00859011
Hilsman,checking0,327.8576261,89.73488371,0.026458046,0.007230403
BHL,checking1,6967.822339,160.4646759,0.972924847,0.009878961
Clarke,checking1,13602.11877,163.8000619,0.982696093,0.003876772
Coile,checking1,4912.937117,99.17965978,0.960753175,0.00859011
Hilsman,checking1,12063.74612,199.3913944,0.973541954,0.007230403
BHL,savings0,2198.297895,210.5843906,0.3069508,0.028709934
Clarke,savings0,3142.870987,352.6053944,0.227059261,0.025353119
Coile,savings0,1532.731947,149.4364923,0.299734568,0.028519009
Hilsman,savings0,2912.467214,293.7094191,0.235035535,0.023363427
BHL,savings1,4963.429302,230.4125976,0.6930492,0.028709934
Clarke,savings1,10698.76212,372.0740493,0.772940739,0.025353119
Coile,savings1,3580.898946,159.1073171,0.700265432,0.028519009
Hilsman,savings1,9479.136534,318.5839111,0.764964465,0.023363427
BHL,medbill_worry0,2907.001784,233.6183079,0.3764748,0.029831117
Clarke,medbill_worry0,6429.35594,436.9564409,0.451708733,0.030372693
Coile,medbill_worry0,1901.589249,164.2738613,0.334408443,0.02864334
Hilsman,medbill_worry0,5026.766159,352.9794678,0.384252794,0.026764511
BHL,medbill_worry1,3381.7879,238.6483097,0.437962553,0.03041388
