middleschool,variable.x,pct,pctse
Hilsman,medbill_worry1,0.423174252,0.027215248
BHL,medbill_worry2,0.185562648,0.022670816
Clarke,medbill_worry2,0.131438596,0.019253253
Coile,medbill_worry2,0.275163759,0.026604358
Hilsman,medbill_worry2,0.192572954,0.021735018
BHL,hh_finance0,0.144296216,0.021175988
Clarke,hh_finance0,0.145856479,0.021038561
Coile,hh_finance0,0.164683128,0.022387019
Hilsman,hh_finance0,0.161146042,0.02004997
BHL,hh_finance1,0.533420482,0.030553211
Clarke,hh_finance1,0.442264597,0.03027855
Coile,hh_finance1,0.454601382,0.029459329
Hilsman,hh_finance1,0.445556201,0.027347975
BHL,hh_finance2,0.322283302,0.028495098
Clarke,hh_finance2,0.411878925,0.030362983
Coile,hh_finance2,0.38071549,0.029213459
Hilsman,hh_finance2,0.393297757,0.026994068
BHL,internetuse0,0.08050455,0.016183914
Clarke,internetuse0,0.045617049,0.00734377
Coile,internetuse0,0.10852683,0.015585666
Hilsman,internetuse0,0.061365134,0.011778624
BHL,internetuse1,0.91949545,0.016183914
Clarke,internetuse1,0.954382951,0.00734377
Coile,internetuse1,0.89147317,0.015585666
Hilsman,internetuse1,0.938634866,0.011778624
BHL,internetsource1,0.065835008,0.015511631
Clarke,internetsource1,0.053995555,0.012638788
Coile,internetsource1,0.106417029,0.01581208
Hilsman,internetsource1,0.082520713,0.014792251
BHL,internetsource2,0.216081224,0.026608636
Clarke,internetsource2,0.18288954,0.025208146
Coile,internetsource2,0.150098825,0.023593403
Hilsman,internetsource2,0.169772041,0.021018161
BHL,internetsource3,0.02397922,0.009320341
Clarke,internetsource3,0.011603041,0.005534072
Coile,internetsource3,0.01852084,0.009110876
Hilsman,internetsource3,0.057313385,0.013339747
BHL,internetsource4,0.657756807,0.03028941
Clarke,internetsource4,0.723529124,0.028201256
Coile,internetsource4,0.664639956,0.029217532
Hilsman,internetsource4,0.656312352,0.026722134
BHL,internetsource5,0.03634774,0.011173021
Clarke,internetsource5,0.027982739,0.009194485
Coile,internetsource5,0.06032335,0.014206836
Hilsman,internetsource5,0.034081508,0.01049477
