middleschool,variable.x,est,se
BHLyons,noworkben0,3812.731593,242.03547155565204
Clarke,noworkben0,8189.6472212,437.11984317694163
Coile,noworkben0,3055.7035744,173.34106830702177
Hilsman,noworkben0,6867.411656,361.4680882202354
BHLyons,noworkben1,1218.6521189999999,172.50429878667572
Clarke,noworkben1,2936.1498774,359.7148566071411
Coile,noworkben1,1238.8990012,145.06594666685194
Hilsman,noworkben1,2057.4136269,264.4082453545453
BHLyons,healthcover0,1060.808665,155.67544112557536
Clarke,healthcover0,1285.2299486,241.12314481492172
Coile,healthcover0,1133.1582326,129.18620189471235
Hilsman,healthcover0,1588.6088138,230.87840516825216
BHLyons,healthcover1,6672.579817,175.28012375438857
Clarke,healthcover1,12976.642107200001,266.27159800803196
Coile,healthcover1,4645.1720700000005,136.50628873351232
Hilsman,healthcover1,11503.2280128,252.91988957730914
BHLyons,tanf0,7352.481089,134.97470667695669
Clarke,tanf0,13575.6746256,235.38375421616703
Coile,tanf0,5393.0267246,101.46401049739717
Hilsman,tanf0,12398.0628205,195.6629820969122
BHLyons,tanf1,30.219513,30.219513000000003
Clarke,tanf1,17.2999992,12.128834670419623
Coile,tanf1,37.186166799999995,22.330036545319608
Hilsman,tanf1,11.4334002,8.01582815949163
BHLyons,ssdi0,7099.115358999999,151.37315016125842
Clarke,ssdi0,13109.148008600001,262.3660407346341
Coile,ssdi0,5065.1553486,118.44064337812685
Hilsman,ssdi0,11649.2666452,242.34373080453324
BHLyons,ssdi1,283.585243,81.29705787502465
Clarke,ssdi1,483.8266162,126.14945052466031
Coile,ssdi1,365.0575428,71.71814879914362
Hilsman,ssdi1,760.2295755,158.36553047275956
BHLyons,caps0,7322.418589,137.76237638698177
Clarke,caps0,13584.3246252,235.24093674977112
Coile,caps0,5416.9813152,99.85061912677084
Hilsman,caps0,12338.2893606,200.19823474847834
BHLyons,caps1,60.282013,42.625964765705554
Clarke,caps1,8.6499996,8.649999599999997
Coile,caps1,13.2315762,10.3732141937543
Hilsman,caps1,71.2068601,48.942007067858775
BHLyons,ssi0,6888.576371,170.7414429981898
Clarke,ssi0,12959.8548824,275.4208800093493
Coile,ssi0,5136.5564208000005,119.48502583409159
Hilsman,ssi0,11673.9894566,240.25157681198783
BHLyons,ssi1,494.124231,118.56416300808922
Clarke,ssi1,633.1197424000001,154.81150029955788
Coile,ssi1,293.6564706,73.10913042381027
Hilsman,ssi1,735.5067641,157.86069188596196
BHLyons,wic0,7230.261630999999,139.83327022895136
Clarke,wic0,13480.5674844,238.5274424982562
Coile,wic0,5195.5395106000005,111.38201733262002
Hilsman,wic0,12227.7379628,207.05611790091132
BHLyons,wic1,152.438971,53.76212642704864
Clarke,wic1,112.40714039999999,42.14605359985871
Coile,wic1,231.22510499999999,55.17353954212266
Hilsman,wic1,181.75825790000002,76.5738870658149
BHLyons,wic10,0,0
Clarke,wic10,0,0
Coile,wic10,3.4482757999999993,3.4482758000000002
